1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","675.2703"
"","0.1000","0.0048","722.1011"
"","0.2000","0.0184","871.9633"
"","0.2700","0.0418","1122.7261"
"","0.3700","0.0620","1332.2135"
"","0.4700","0.0834","1550.8639"
"","0.5700","0.1042","1761.0321"
"","0.6700","0.1254","1972.6038"
"","0.7700","0.1476","2190.6357"
"","0.8700","0.1677","2376.1462"
"","0.9700","0.1895","2560.0254"
"","1.0700","0.2099","2732.2812"
"","1.1700","0.2318","2923.3376"
"","1.2700","0.2528","3102.2795"
"","1.3700","0.2738","3281.9175"
"","1.4700","0.2949","3460.4802"
"","1.5700","0.3160","3640.1145"
"","1.6700","0.3380","3827.9463"
"","1.7700","0.3582","3995.9561"
"","1.8700","0.3799","4179.0483"
"","1.9700","0.4004","4348.6016"
"","2.0700","0.4221","4528.5166"
"","2.1700","0.4433","4701.2334"
"","2.2700","0.4640","4868.5811"
"","2.3700","0.4854","5039.1006"
"","2.4700","0.5062","5202.0542"
"","2.5700","0.5284","5375.5952"
"","2.6700","0.5486","5526.8413"
"","2.7700","0.5703","5688.5718"
"","2.8700","0.5911","5838.6562"
"","2.9700","0.6123","5990.0747"
"","3.0700","0.6341","6137.8115"
"","3.1700","0.6544","6270.4155"
"","3.2700","0.6761","6405.9219"
"","3.3700","0.6966","6525.4971"
"","3.4700","0.7186","6646.4009"
"","3.5700","0.7394","6744.3877"
"","3.6700","0.7608","6838.7202"
"","3.7700","0.7815","6910.1216"
"","3.8700","0.8027","6975.1255"
"","3.9700","0.8248","7022.9858"
"","4.0700","0.8451","7061.5723"
"","4.1700","0.8667","7095.1797"
"","4.2700","0.8872","7123.5366"
"","4.3700","0.9092","7153.9463"
"","4.4700","0.9302","7173.0464"
"","4.5700","0.9512","7202.2534"
"","4.6700","0.9722","7218.7051"
"","4.7700","0.9931","7242.6929"
"","4.8700","1.0153","7261.9253"
"","4.9700","1.0353","7275.8394"
"","5.0700","1.0572","7300.1616"
"","5.1700","1.0774","7312.3657"
"","5.2700","1.0996","7335.6196"
"","5.3700","1.1209","7344.3105"
"","5.4700","1.1412","7364.5161"
"","5.5700","1.1629","7378.6729"
"","5.6700","1.1835","7393.3384"
"","5.7700","1.2059","7411.5850"
"","5.8700","1.2260","7417.4233"
"","5.9700","1.2477","7441.0127"
"","6.0700","1.2683","7446.9014"
"","6.1700","1.2896","7467.3721"
"","6.2700","1.3114","7474.9478"
"","6.3700","1.3318","7489.3101"
"","6.4700","1.3535","7503.0527"
"","6.5700","1.3739","7512.8696"
"","6.6700","1.3961","7533.2144"
"","6.7700","1.4168","7535.0464"
"","6.8700","1.4382","7557.4673"
"","6.9700","1.4591","7563.2905"
"","7.0700","1.4801","7579.6968"
"","7.1700","1.5021","7591.1680"
"","7.2700","1.5224","7598.8828"
"","7.3700","1.5440","7613.9414"
"","7.4700","1.5645","7623.0854"
"","7.5700","1.5864","7641.1240"
"","7.6700","1.6074","7644.3262"
"","7.7700","1.6284","7661.8711"
"","7.8700","1.6495","7668.1333"
"","7.9700","1.6704","7683.1924"
"","8.0700","1.6926","7695.3164"
"","8.1700","1.7129","7700.3101"
"","8.2700","1.7347","7718.8013"
"","8.3700","1.7550","7723.6890"
"","8.4700","1.7768","7743.6855"
"","8.5700","1.7981","7746.1699"
"","8.6700","1.8187","7759.8491"
"","8.7700","1.8401","7768.9365"
"","8.8700","1.8607","7780.2368"
"","8.9700","1.8830","7796.4688"
"","9.0700","1.9035","7796.9370"
"","9.1700","1.9251","7816.9814"
"","9.2700","1.9457","7821.4077"
"","9.3700","1.9671","7837.1919"
"","9.4700","1.9889","7843.8794"
"","9.5700","2.0092","7851.6104"
"","9.6700","2.0309","7865.7896"
"","9.7700","2.0513","7872.4219"
"","9.8700","2.0735","7890.9902"
"","9.9700","2.0942","7892.2407"
"","10.0700","2.1155","7909.4517"
"","10.1700","2.1363","7913.7891"
"","10.2700","2.1573","7927.1504"
"","10.3700","2.1795","7938.3022"
"","10.4700","2.1996","7941.1997"
"","10.5700","2.2213","7956.7036"
"","10.6700","2.2418","7963.0435"
"","10.7700","2.2638","7979.7783"
"","10.8700","2.2848","7982.0283"
"","10.9700","2.3059","7997.0762"
"","11.0700","2.3269","8002.2632"
"","11.1700","2.3478","8014.9556"
"","11.2700","2.3700","8026.6133"
"","11.3700","2.3901","8026.9443"
"","11.4700","2.4119","8045.0649"
"","11.5700","2.4323","8047.5034"
"","11.6700","2.4540","8066.5396"
"","11.7700","2.4755","8069.8403"
"","11.8700","2.4960","8079.3145"
"","11.9700","2.5173","8089.5605"
"","12.0700","2.5382","8098.7109"
"","12.1700","2.5604","8112.0234"
"","12.2700","2.5809","8111.6685"
"","12.3700","2.6024","8127.7256"
"","12.4700","2.6232","8132.3071"
"","12.5700","2.6444","8145.8789"
"","12.6700","2.6663","8154.4468"
"","12.7700","2.6864","8159.0068"
"","12.8700","2.7082","8172.1523"
"","12.9700","2.7287","8178.2046"
"","13.0700","2.7506","8193.7305"
"","13.1700","2.7714","8193.9717"
"","13.2700","2.7927","8209.2168"
"","13.3700","2.8137","8212.7949"
"","13.4700","2.8347","8224.5420"
"","13.5700","2.8567","8234.7324"
"","13.6700","2.8770","8237.2227"
"","13.7700","2.8990","8252.1787"
"","13.8700","2.9191","8254.0146"
"","13.9700","2.9411","8272.2021"
"","14.0700","2.9621","8272.1074"
"","14.1700","2.9831","8285.9229"
"","14.2700","3.0042","8291.0488"
"","14.3700","3.0249","8300.8516"
"","14.4700","3.0472","8313.7578"
"","14.5700","3.0673","8312.4238"
"","14.6700","3.0893","8329.0117"
"","14.7700","3.1097","8331.0059"
"","14.8700","3.1314","8346.5176"
"","14.9700","3.1531","8350.5039"
"","15.0700","3.1736","8357.4795"
"","15.1700","3.1949","8365.6650"
"","15.2700","3.2154","8372.7578"
"","15.3700","3.2377","8388.4961"
"","15.4700","3.2581","8386.5811"
"","15.5700","3.2797","8402.4150"
"","15.6700","3.3004","8404.5674"
"","15.7700","3.3218","8418.7646"
"","15.8700","3.3435","8424.1387"
"","15.9700","3.3638","8428.0000"
"","16.0700","3.3855","8440.0586"
"","16.1700","3.4061","8443.7256"
"","16.2700","3.4280","8458.8076"
"","16.3700","3.4487","8458.2168"
"","16.4700","3.4702","8473.5234"
"","16.5700","3.4911","8475.9336"
"","16.6700","3.5121","8486.8213"
"","16.7700","3.5340","8495.9160"
"","16.8700","3.5543","8496.5820"
"","16.9700","3.5760","8510.4141"
"","17.0700","3.5963","8511.3711"
"","17.1700","3.6183","8528.6416"
"","17.2700","3.6396","8529.2812"
"","17.3700","3.6603","8538.4453"
"","17.4700","3.6816","8544.9160"
"","17.5700","3.7024","8552.8438"
"","17.6700","3.7246","8565.9336"
"","17.7700","3.7449","8563.6260"
"","17.8700","3.7666","8577.6836"
"","17.9700","3.7873","8580.1934"
"","18.0700","3.8084","8591.3486"
"","18.1700","3.8304","8599.3877"
"","18.2700","3.8508","8603.2822"
"","18.3700","3.8721","8610.3652"
"","18.4700","3.8928","8617.3672"
"","18.5700","3.9151","8631.4648"
"","18.6700","3.9356","8628.0029"
"","18.7700","3.9570","8641.9766"
"","18.8700","3.9779","8645.5869"
"","18.9700","3.9991","8656.4307"
"","19.0700","4.0208","8663.2949"
"","19.1700","4.0411","8664.7754"
"","19.2700","4.0629","8676.9805"
"","19.3700","4.0833","8678.9404"
"","19.4700","4.1054","8693.5703"
"","19.5700","4.1262","8692.8037"
"","19.6700","4.1472","8703.7441"
"","19.7700","4.1684","8708.8818"
"","19.8700","4.1892","8716.8555"
"","19.9700","4.2113","8726.3184"
"","20.0700","4.2315","8725.4922"
"","20.1700","4.2534","8738.6426"
"","20.2700","4.2739","8739.7998"
"","20.3700","4.2957","8754.6777"
"","20.4700","4.3171","8755.5557"
"","20.5700","4.3378","8763.5479"
"","20.6700","4.3591","8768.9150"
"","20.7700","4.3796","8773.4922"
"","20.8700","4.4019","8787.5166"
"","20.9700","4.4221","8782.7490"
"","21.0700","4.4438","8798.0400"
"","21.1700","4.4644","8798.7803"
"","21.2700","4.4860","8811.9131"
"","21.3700","4.5077","8816.2480"
"","21.4700","4.5281","8820.2480"
"","21.5700","4.5497","8828.5781"
"","21.6700","4.5702","8831.6270"
"","21.7700","4.5923","8845.2510"
"","21.8700","4.6127","8840.4766"
"","21.9700","4.6342","8853.9775"
"","22.0700","4.6551","8855.9854"
"","22.1700","4.6765","8867.4326"
"","22.2700","4.6983","8873.6904"
"","22.3700","4.7185","8874.7998"
"","22.4700","4.7400","8884.4600"
"","22.5700","4.7606","8887.3652"
"","22.6700","4.7826","8900.0781"
"","22.7700","4.8034","8897.2363"
"","22.8700","4.8246","8908.8145"
"","22.9700","4.8457","8911.9980"
"","23.0700","4.8668","8920.4951"
"","23.1700","4.8888","8929.5625"
"","23.2700","4.9091","8928.0088"
"","23.3700","4.9308","8938.9238"
"","23.4700","4.9513","8939.5527"
"","23.5700","4.9729","8952.7979"
"","23.6700","4.9942","8953.1406"
"","23.7700","5.0150","8960.5430"
"","23.8700","5.0365","8966.0225"
"","23.9700","5.0571","8970.2520"
"","24.0700","5.0792","8982.5918"
"","24.1700","5.0995","8978.1709"
"","24.2700","5.1213","8991.7607"
"","24.3700","5.1418","8991.4131"
"","24.4700","5.1633","9002.8838"
"","24.5700","5.1848","9007.3350"
"","24.6700","5.2055","9010.3027"
"","24.7700","5.2270","9017.3818"
"","24.8700","5.2473","9019.9971"
"","24.9700","5.2698","9034.9023"
"","25.0700","5.2901","9029.0537"
"","25.1700","5.3117","9041.4170"
"","25.2700","5.3324","9041.3760"
"","25.3700","5.3536","9050.8867"
"","25.4700","5.3754","9057.0625"
"","25.5700","5.3958","9057.7812"
"","25.6700","5.4176","9067.9746"
"","25.7700","5.4381","9069.3896"
"","25.8700","5.4600","9081.9570"
"","25.9700","5.4809","9078.7305"
"","26.0700","5.5021","9088.8047"
"","26.1700","5.5231","9090.1221"
"","26.2700","5.5439","9096.6641"
"","26.3700","5.5661","9106.7930"
"","26.4700","5.5862","9101.9209"
"","26.5700","5.6081","9115.6338"
"","26.6700","5.6287","9115.7168"
"","26.7700","5.6502","9127.3281"
"","26.8700","5.6717","9128.1748"
"","26.9700","5.6924","9133.8174"
"","27.0700","5.7137","9138.0410"
"","27.1700","5.7344","9141.7822"
"","27.2700","5.7566","9153.8574"
"","27.3700","5.7770","9149.0146"
"","27.4700","5.7986","9160.1436"
"","27.5700","5.8191","9159.4033"
"","27.6700","5.8407","9171.7393"
"","27.7700","5.8622","9173.1533"
"","27.8700","5.8828","9177.3525"
"","27.9700","5.9042","9183.3945"
"","28.0700","5.9248","9186.2900"
"","28.1700","5.9469","9197.8545"
"","28.2700","5.9674","9193.3525"
"","28.3700","5.9889","9204.7656"
"","28.4700","6.0097","9204.0762"
"","28.5700","6.0311","9213.4941"
"","28.6700","6.0529","9219.6074"
"","28.7700","6.0731","9217.2842"
"","28.8700","6.0949","9228.1094"
"","28.9700","6.1154","9227.5293"
"","29.0700","6.1374","9240.4121"
"","29.1700","6.1581","9235.9346"
"","29.2700","6.1791","9244.0400"
"","29.3700","6.2005","9248.3271"
"","29.4700","6.2214","9253.4424"
"","29.5700","6.2434","9262.2705"
"","29.6700","6.2636","9257.8555"
"","29.7700","6.2855","9270.1143"
"","29.8700","6.3060","9268.6592"
"","29.9700","6.3276","9278.7734"
"","30.0700","6.3489","9279.2969"
"","30.1700","6.3697","9284.3877"
"","30.2700","6.3910","9288.5508"
"","30.3700","6.4118","9292.5723"
"","30.4700","6.4339","9302.4307"
"","30.5700","6.4542","9297.6416"
"","30.6700","6.4759","9308.9551"
"","30.7700","6.4964","9306.3379"
"","30.8700","6.5180","9318.0186"
"","30.9700","6.5392","9318.1309"
"","31.0700","6.5601","9324.2031"
"","31.1700","6.5816","9329.3730"
"","31.2700","6.6020","9328.5586"
"","31.3700","6.6242","9342.1260"
"","31.4700","6.6449","9336.5674"
"","31.5700","6.6664","9346.9385"
"","31.6700","6.6872","9345.0654"
"","31.7700","6.7083","9353.9238"
"","31.8700","6.7303","9359.4023"
"","31.9700","6.7504","9356.5469"
"","32.0700","6.7723","9367.8066"
"","32.1700","6.7925","9365.4912"
"","32.2700","6.8147","9379.1133"
"","32.3700","6.8355","9373.5498"
"","32.4700","6.8567","9382.5020"
"","32.5700","6.8777","9383.0225"
"","32.6700","6.8988","9389.0547"
"","32.7700","6.9210","9397.0654"
"","32.8700","6.9409","9391.1973"
"","32.9700","6.9628","9403.5615"
"","33.0700","6.9834","9402.1279"
"","33.1700","7.0051","9411.5566"
"","33.2700","7.0263","9411.2295"
"","33.3700","7.0469","9415.1602"
"","33.4700","7.0682","9419.3408"
"","33.5700","7.0891","9423.3740"
"","33.6700","7.1111","9431.4258"
"","33.7700","7.1315","9426.9746"
"","33.8700","7.1530","9436.8174"
"","33.9700","7.1737","9436.0020"
"","34.0700","7.1951","9444.4004"
"","34.1700","7.2170","9448.9443"
"","34.2700","7.2374","9447.8965"
"","34.3700","7.2591","9455.1426"
"","34.4700","7.2796","9455.3369"
"","34.5700","7.3017","9465.8193"
"","34.6700","7.3221","9460.3779"
"","34.7700","7.3434","9468.8389"
"","34.8700","7.3645","9469.7852"
"","34.9700","7.3855","9475.3115"
"","35.0700","7.4075","9482.6631"
"","35.1700","7.4279","9479.9307"
"","35.2700","7.4497","9488.0254"
"","35.3700","7.4701","9486.8555"
"","35.4700","7.4920","9497.6553"
"","35.5700","7.5130","9493.5771"
"","35.6700","7.5340","9499.6895"
"","35.7700","7.5551","9501.2578"
"","35.8700","7.5761","9506.1729"
"","35.9700","7.5981","9514.1533"
"","36.0700","7.6182","9508.6719"
"","36.1700","7.6401","9520.1191"
"","36.2700","7.6606","9517.9658"
"","36.3700","7.6823","9527.7803"
"","36.4700","7.7035","9526.2080"
"","36.5700","7.7241","9528.3906"
"","36.6700","7.7456","9532.7754"
"","36.7700","7.7663","9535.3359"
"","36.8700","7.7886","9545.3467"
"","36.9700","7.8090","9539.6992"
"","37.0700","7.8307","9550.1406"
"","37.1700","7.8512","9547.2041"
"","37.2700","7.8725","9555.1885"
"","37.3700","7.8945","9558.4404"
"","37.4700","7.9143","9553.8408"
"","37.5700","7.9363","9564.0322"
"","37.6700","7.9567","9562.0518"
"","37.7700","7.9787","9572.8369"
"","37.8700","7.9995","9569.3271"
"","37.9700","8.0210","9577.9619"
"","38.0700","8.0419","9576.8105"
"","38.1700","8.0631","9582.7480"
"","38.2700","8.0851","9588.1855"
"","38.3700","8.1052","9582.9580"
"","38.4700","8.1269","9591.9062"
"","38.5700","8.1473","9588.8447"
"","38.6700","8.1694","9600.9316"
"","38.7700","8.1904","9596.9512"
"","38.8700","8.2111","9601.3154"
"","38.9700","8.2323","9604.7949"
"","39.0700","8.2533","9608.5049"
"","39.1700","8.2755","9616.5840"
"","39.2700","8.2956","9610.0381"
"","39.3700","8.3172","9618.7168"
"","39.4700","8.3379","9617.9814"
"","39.5700","8.3598","9627.1104"
"","39.6700","8.3810","9624.6885"
"","39.7700","8.4016","9626.3965"
"","39.8700","8.4231","9631.3916"
"","39.9700","8.4438","9632.5586"
"","40.0700","8.4660","9642.7129"
"","40.1700","8.4861","9635.0000"
"","40.2700","8.5078","9645.7432"
"","40.3700","8.5285","9642.6504"
"","40.4700","8.5499","9649.7871"
"","40.5700","8.5716","9652.4258"
"","40.6700","8.5918","9650.0273"
"","40.7700","8.6138","9658.9658"
"","40.8700","8.6343","9656.9609"
"","40.9700","8.6563","9667.0879"
"","41.0700","8.6768","9660.7607"
"","41.1700","8.6984","9670.0811"
"","41.2700","8.7193","9668.0469"
"","41.3700","8.7402","9671.8613"
"","41.4700","8.7622","9677.8877"
"","41.5700","8.7825","9673.4795"
"","41.6700","8.8043","9682.0977"
"","41.7700","8.8247","9680.4355"
"","41.8700","8.8465","9689.8672"
"","41.9700","8.8676","9687.3145"
"","42.0700","8.8886","9691.5098"
"","42.1700","8.9097","9691.8223"
"","42.2700","8.9306","9695.1357"
"","42.3700","8.9529","9703.5850"
"","42.4700","8.9730","9695.6787"
"","42.5700","8.9947","9704.8242"
"","42.6700","9.0153","9702.3662"
"","42.7700","9.0369","9711.2793"
"","42.8700","9.0583","9710.3682"
"","42.9700","9.0789","9712.0742"
"","43.0700","9.1004","9715.5791"
"","43.1700","9.1208","9715.0527"
"","43.2700","9.1433","9726.3340"
"","43.3700","9.1635","9717.6377"
"","43.4700","9.1852","9727.9375"
"","43.5700","9.2058","9724.2090"
"","43.6700","9.2273","9731.9736"
"","43.7700","9.2492","9735.1318"
"","43.8700","9.2691","9728.5996"
"","43.9700","9.2911","9738.7881"
"","44.0700","9.3116","9736.0098"
"","44.1700","9.3336","9745.4209"
"","44.2700","9.3542","9740.2988"
"","44.3700","9.3756","9747.6416"
