3,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","279.8298"
"","0.1000","0.0054","329.9192"
"","0.2000","0.0218","490.3038"
"","0.2940","0.0480","741.8642"
"","0.3940","0.0683","932.4671"
"","0.4940","0.0906","1132.7405"
"","0.5940","0.1108","1291.0348"
"","0.6940","0.1325","1459.2855"
"","0.7940","0.1530","1617.9084"
"","0.8940","0.1750","1791.7195"
"","0.9940","0.1957","1950.3981"
"","1.0940","0.2168","2113.4956"
"","1.1940","0.2380","2275.0361"
"","1.2940","0.2589","2434.1233"
"","1.3940","0.2809","2602.2454"
"","1.4940","0.3011","2751.2268"
"","1.5940","0.3230","2916.1899"
"","1.6940","0.3434","3065.5273"
"","1.7940","0.3652","3227.0002"
"","1.8940","0.3865","3381.5232"
"","1.9940","0.4073","3531.6948"
"","2.0940","0.4286","3684.8423"
"","2.1940","0.4494","3833.5029"
"","2.2940","0.4715","3991.9443"
"","2.3940","0.4917","4130.3228"
"","2.4940","0.5134","4280.6987"
"","2.5940","0.5338","4418.3320"
"","2.6940","0.5554","4565.3740"
"","2.7940","0.5770","4709.6553"
"","2.8940","0.5976","4845.2241"
"","2.9940","0.6189","4985.9258"
"","3.0940","0.6397","5122.2725"
"","3.1940","0.6619","5267.1846"
"","3.2940","0.6824","5396.6841"
"","3.3940","0.7040","5535.2007"
"","3.4940","0.7246","5664.8940"
"","3.5940","0.7460","5800.2886"
"","3.6940","0.7677","5935.1943"
"","3.7940","0.7877","6057.4253"
"","3.8940","0.8098","6193.5356"
"","3.9940","0.8302","6312.8398"
"","4.0940","0.8521","6445.4146"
"","4.1940","0.8731","6567.2881"
"","4.2940","0.8942","6695.0366"
"","4.3940","0.9152","6819.4517"
"","4.4940","0.9362","6945.4053"
"","4.5940","0.9584","7079.0044"
"","4.6940","0.9784","7195.4658"
"","4.7940","1.0003","7328.9922"
"","4.8940","1.0207","7448.3872"
"","4.9940","1.0426","7582.4507"
"","5.0940","1.0639","7708.0386"
"","5.1940","1.0844","7831.4492"
"","5.2940","1.1058","7958.9629"
"","5.3940","1.1265","8082.0752"
"","5.4940","1.1487","8217.0469"
"","5.5940","1.1690","8335.1504"
"","5.6940","1.1907","8466.4355"
"","5.7940","1.2114","8586.4668"
"","5.8940","1.2329","8715.6299"
"","5.9940","1.2547","8842.2080"
"","6.0940","1.2750","8958.3662"
"","6.1940","1.2964","9081.0518"
"","6.2940","1.3172","9196.0879"
"","6.3940","1.3392","9316.5576"
"","6.4940","1.3598","9416.1182"
"","6.5940","1.3809","9499.2676"
"","6.6940","1.4019","9511.9629"
"","6.7940","1.4232","9528.5703"
"","6.8940","1.4451","9533.9521"
"","6.9940","1.4652","9549.1113"
"","7.0940","1.4870","9548.7510"
"","7.1940","1.5076","9557.5293"
"","7.2940","1.5296","9554.3076"
"","7.3940","1.5504","9546.0029"
"","7.4940","1.5715","9547.8760"
"","7.5940","1.5928","9533.0381"
"","7.6940","1.6135","9539.3594"
"","7.7940","1.6357","9529.4248"
"","7.8940","1.6558","9537.9404"
"","7.9940","1.6776","9525.9268"
"","8.0940","1.6980","9537.5117"
"","8.1940","1.7197","9526.9014"
"","8.2940","1.7412","9527.3096"
"","8.3940","1.7619","9534.9756"
"","8.4940","1.7833","9524.5566"
"","8.5940","1.8039","9529.3428"
"","8.6940","1.8262","9526.7305"
"","8.7940","1.8466","9529.4316"
"","8.8940","1.8681","9523.5518"
"","8.9940","1.8888","9531.8740"
"","9.0940","1.9101","9524.7070"
"","9.1940","1.9318","9524.7363"
"","9.2940","1.9523","9531.6621"
"","9.3940","1.9739","9520.5732"
"","9.4940","1.9944","9530.7773"
"","9.5940","2.0166","9524.8955"
"","9.6940","2.0371","9525.8740"
"","9.7940","2.0585","9526.3701"
"","9.8940","2.0791","9529.0234"
"","9.9940","2.1006","9522.5625"
"","10.0940","2.1226","9528.8135"
"","10.1940","2.1425","9531.1816"
"","10.2940","2.1643","9520.2139"
"","10.3940","2.1850","9534.8223"
"","10.4940","2.2070","9524.2607"
"","10.5940","2.2278","9528.4775"
"","10.6940","2.2488","9529.6670"
"","10.7940","2.2699","9528.1191"
"","10.8940","2.2908","9530.1670"
"","10.9940","2.3131","9527.7500"
"","11.0940","2.3332","9534.2939"
"","11.1940","2.3550","9523.6953"
"","11.2940","2.3756","9537.3848"
"","11.3940","2.3972","9529.4287"
"","11.4940","2.4186","9528.6113"
"","11.5940","2.4393","9536.5068"
"","11.6940","2.4607","9527.9004"
"","11.7940","2.4813","9536.0879"
"","11.8940","2.5035","9530.5186"
"","11.9940","2.5238","9534.8730"
"","12.0940","2.5455","9526.8545"
"","12.1940","2.5660","9537.8047"
"","12.2940","2.5875","9530.3457"
"","12.3940","2.6092","9531.9707"
"","12.4940","2.6294","9539.0273"
"","12.5940","2.6511","9525.2686"
"","12.6940","2.6717","9539.2139"
"","12.7940","2.6939","9529.4561"
"","12.8940","2.7144","9535.9971"
"","12.9940","2.7359","9534.4619"
"","13.0940","2.7566","9536.0342"
"","13.1940","2.7778","9535.7197"
"","13.2940","2.7997","9529.3398"
"","13.3940","2.8199","9538.4795"
"","13.4940","2.8418","9527.3389"
"","13.5940","2.8622","9543.1748"
"","13.6940","2.8842","9534.6035"
"","13.7940","2.9052","9535.9160"
"","13.8940","2.9262","9540.2002"
"","13.9940","2.9472","9532.4385"
"","14.0940","2.9681","9537.3936"
"","14.1940","2.9904","9536.0449"
"","14.2940","3.0106","9539.4756"
"","14.3940","3.0324","9533.4102"
"","14.4940","3.0529","9544.2656"
"","14.5940","3.0746","9535.5264"
"","14.6940","3.0960","9539.7412"
"","14.7940","3.1166","9546.1436"
"","14.8940","3.1379","9535.4053"
"","14.9940","3.1585","9545.2246"
"","15.0940","3.1808","9535.5918"
"","15.1940","3.2011","9540.2422"
"","15.2940","3.2228","9534.7148"
"","15.3940","3.2433","9545.4619"
"","15.4940","3.2649","9538.2959"
"","15.5940","3.2866","9544.7549"
"","15.6940","3.3070","9558.1230"
"","15.7940","3.3286","9557.3369"
"","15.8940","3.3489","9596.7021"
"","15.9940","3.3713","9630.9736"
"","16.0940","3.3918","9654.6953"
"","16.1940","3.4131","9689.2090"
"","16.2940","3.4341","9697.4277"
"","16.3940","3.4550","9720.4346"
"","16.4940","3.4772","9743.9912"
"","16.5940","3.4972","9752.7090"
"","16.6940","3.5187","9771.8037"
"","16.7940","3.5395","9778.5752"
"","16.8940","3.5615","9790.6064"
"","16.9940","3.5826","9785.4414"
"","17.0940","3.6036","9795.6387"
"","17.1940","3.6248","9800.0947"
"","17.2940","3.6456","9803.5020"
"","17.3940","3.6677","9813.9473"
"","17.4940","3.6878","9812.0059"
