3,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","217.6984"
"","0.1000","0.0034","259.7938"
"","0.2000","0.0159","444.3981"
"","0.2470","0.0321","697.4996"
"","0.3020","0.0464","949.0070"
"","0.3730","0.0603","1200.5734"
"","0.4330","0.0737","1453.0978"
"","0.4910","0.0865","1703.1281"
"","0.5570","0.0997","1954.8046"
"","0.6220","0.1134","2208.1970"
"","0.6920","0.1287","2459.5325"
"","0.7830","0.1472","2711.9832"
"","0.8660","0.1651","2962.3557"
"","0.9490","0.1834","3214.0676"
"","1.0440","0.2025","3465.8589"
"","1.1290","0.2209","3716.7476"
"","1.2230","0.2402","3967.2864"
"","1.3120","0.2594","4219.3916"
"","1.4010","0.2790","4470.4331"
"","1.5010","0.2991","4715.7505"
"","1.5920","0.3191","4966.2485"
"","1.6920","0.3395","5210.8911"
"","1.7860","0.3600","5462.6602"
"","1.8860","0.3815","5713.6738"
"","1.9860","0.4019","5947.7612"
"","2.0860","0.4236","6197.3604"
"","2.1860","0.4438","6423.8159"
"","2.2820","0.4655","6674.8188"
"","2.3820","0.4859","6891.2690"
"","2.4820","0.5071","7128.7925"
"","2.5820","0.5281","7357.7446"
"","2.6820","0.5493","7591.5181"
"","2.7820","0.5713","7831.1816"
"","2.8820","0.5914","8042.1392"
"","2.9820","0.6132","8283.1846"
"","3.0820","0.6337","8500.1289"
"","3.1820","0.6556","8741.8643"
"","3.2820","0.6766","8957.6367"
"","3.3820","0.6978","9186.1465"
"","3.4820","0.7189","9400.8057"
"","3.5820","0.7396","9609.9980"
"","3.6820","0.7619","9838.1104"
"","3.7820","0.7818","10023.3047"
"","3.8820","0.8037","10245.8887"
"","3.9820","0.8242","10437.7617"
"","4.0820","0.8459","10654.8838"
"","4.1820","0.8674","10859.2598"
"","4.2820","0.8880","11058.4316"
"","4.3820","0.9094","11258.3887"
"","4.4820","0.9300","11448.1777"
"","4.5820","0.9523","11664.8984"
"","4.6820","0.9727","11844.6504"
"","4.7820","0.9943","12055.8008"
"","4.8820","1.0148","12242.4600"
"","4.9820","1.0362","12453.2881"
"","5.0820","1.0580","12658.0625"
"","5.1820","1.0784","12847.8076"
"","5.2820","1.1000","13054.4111"
"","5.3820","1.1205","13242.7725"
"","5.4820","1.1427","13459.8076"
"","5.5820","1.1632","13641.5889"
"","5.6820","1.1845","13846.6533"
"","5.7820","1.2055","14035.2305"
"","5.8820","1.2267","14233.7178"
"","5.9820","1.2487","14433.8369"
"","6.0820","1.2688","14603.2344"
"","6.1820","1.2906","14789.1309"
"","6.2820","1.3110","14941.6504"
"","6.3820","1.3331","15084.9160"
"","6.4820","1.3540","15153.1113"
"","6.5820","1.3750","15220.4912"
"","6.6820","1.3960","15217.1357"
"","6.7820","1.4169","15179.4258"
"","6.8820","1.4391","15164.5332"
"","6.9820","1.4594","15159.6250"
"","7.0820","1.4812","15157.7217"
"","7.1820","1.5016","15157.1865"
"","7.2820","1.5233","15158.7871"
"","7.3820","1.5447","15150.5117"
"","7.4820","1.5654","15160.3711"
"","7.5820","1.5868","15152.9062"
"","7.6820","1.6075","15159.4473"
"","7.7820","1.6296","15159.7168"
"","7.8820","1.6499","15156.8770"
"","7.9820","1.6718","15163.8213"
"","8.0820","1.6922","15159.3652"
"","8.1820","1.7137","15168.8174"
"","8.2820","1.7356","15162.8281"
"","8.3820","1.7558","15170.3467"
"","8.4820","1.7774","15164.8740"
"","8.5820","1.7978","15166.0088"
"","8.6820","1.8200","15171.1016"
"","8.7820","1.8408","15160.5430"
"","8.8820","1.8619","15167.2197"
"","8.9820","1.8828","15161.5654"
"","9.0820","1.9041","15164.0098"
"","9.1820","1.9262","15153.4570"
"","9.2820","1.9463","15152.3564"
"","9.3820","1.9678","15145.9668"
"","9.4820","1.9883","15145.4199"
"","9.5820","2.0103","15146.9570"
"","9.6820","2.0314","15141.5674"
"","9.7820","2.0524","15154.0127"
"","9.8820","2.0735","15149.3018"
"","9.9820","2.0945","15159.3447"
"","10.0820","2.1166","15161.3135"
"","10.1820","2.1368","15162.1250"
"","10.2820","2.1583","15165.8174"
"","10.3820","2.1790","15163.6855"
"","10.4820","2.2007","15168.8350"
"","10.5820","2.2220","15161.3760"
"","10.6820","2.2427","15170.0381"
"","10.7820","2.2643","15162.1025"
"","10.8820","2.2848","15166.5645"
"","10.9820","2.3070","15165.5654"
"","11.0820","2.3273","15157.8037"
"","11.1820","2.3490","15160.3057"
"","11.2820","2.3696","15153.3555"
"","11.3820","2.3909","15156.2275"
"","11.4820","2.4129","15145.1230"
"","11.5820","2.4331","15150.0059"
"","11.6820","2.4549","15142.9473"
"","11.7820","2.4753","15146.0352"
"","11.8820","2.4973","15147.1807"
"","11.9820","2.5181","15140.3193"
"","12.0820","2.5392","15147.7188"
"","12.1820","2.5600","15141.3682"
"","12.2820","2.5811","15149.1240"
"","12.3820","2.6033","15145.0156"
"","12.4820","2.6236","15151.2314"
"","12.5820","2.6454","15153.0762"
"","12.6820","2.6658","15156.9736"
"","12.7820","2.6877","15161.6025"
"","12.8820","2.7088","15156.4795"
"","12.9820","2.7298","15165.5732"
"","13.0820","2.7507","15156.7246"
"","13.1820","2.7718","15162.4473"
"","13.2820","2.7939","15160.6318"
"","13.3820","2.8140","15159.7236"
"","13.4820","2.8359","15161.7881"
"","13.5820","2.8564","15160.6230"
"","13.6820","2.8780","15164.5605"
"","13.7820","2.8995","15158.9570"
"","13.8820","2.9200","15170.9248"
"","13.9820","2.9415","15171.7227"
"","14.0820","2.9620","15186.4502"
"","14.1820","2.9844","15199.1201"
"","14.2820","3.0048","15205.7666"
"","14.3820","3.0263","15223.9053"
"","14.4820","3.0471","15230.0547"
"","14.5820","3.0682","15247.2119"
"","14.6820","3.0902","15247.9854"
"","14.7820","3.1103","15261.4844"
"","14.8820","3.1321","15261.0137"
"","14.9820","3.1526","15269.1240"
"","15.0820","3.1743","15273.2383"
"","15.1820","3.1955","15268.6465"
"","15.2820","3.2166","15280.9844"
"","15.3820","3.2373","15275.8535"
"","15.4820","3.2586","15284.4580"
"","15.5820","3.2808","15279.0400"
"","15.6820","3.3009","15283.1924"
"","15.7820","3.3227","15282.6895"
"","15.8820","3.3432","15283.3535"
"","15.9820","3.3651","15287.4648"
"","16.0820","3.3861","15279.4482"
"","16.1820","3.4070","15287.2500"
"","16.2820","3.4281","15280.9189"
"","16.3820","3.4490","15286.2812"
"","16.4820","3.4712","15283.5889"
"","16.5820","3.4915","15280.0801"
"","16.6820","3.5130","15282.8691"
"","16.7820","3.5338","15280.3223"
"","16.8820","3.5553","15285.4219"
"","16.9820","3.5769","15274.8496"
"","17.0820","3.5973","15285.2510"
"","17.1820","3.6190","15277.1230"
"","17.2820","3.6394","15280.6152"
"","17.3820","3.6617","15282.4805"
"","17.4820","3.6820","15276.2119"
"","17.5820","3.7036","15283.6367"
"","17.6820","3.7243","15277.2617"
"","17.7820","3.7454","15284.1377"
