4,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","175.1954"
"","0.1000","0.0036","202.8461"
"","0.2000","0.0170","328.2579"
"","0.2900","0.0443","579.2795"
"","0.3900","0.0654","770.0784"
"","0.4900","0.0858","955.4001"
"","0.5900","0.1075","1148.0201"
"","0.6900","0.1280","1326.1224"
"","0.7900","0.1500","1511.7341"
"","0.8900","0.1708","1678.5471"
"","0.9900","0.1916","1843.0039"
"","1.0900","0.2128","2010.2388"
"","1.1900","0.2338","2177.0352"
"","1.2900","0.2557","2351.4646"
"","1.3900","0.2761","2512.5894"
"","1.4900","0.2977","2684.0972"
"","1.5900","0.3184","2847.0398"
"","1.6900","0.3399","3017.4229"
"","1.7900","0.3615","3186.1309"
"","1.8900","0.3820","3346.4294"
"","1.9900","0.4035","3512.8142"
"","2.0900","0.4242","3673.2573"
"","2.1900","0.4463","3843.9348"
"","2.2900","0.4667","3998.5757"
"","2.3900","0.4880","4161.9097"
"","2.4900","0.5090","4320.1035"
"","2.5900","0.5301","4481.2554"
"","2.6900","0.5520","4646.1147"
"","2.7900","0.5725","4799.1934"
"","2.8900","0.5941","4960.4678"
"","2.9900","0.6147","5113.3452"
"","3.0900","0.6368","5278.7847"
"","3.1900","0.6574","5429.7227"
"","3.2900","0.6787","5586.8057"
"","3.3900","0.6997","5738.8105"
"","3.4900","0.7207","5891.1382"
"","3.5900","0.7427","6047.4634"
"","3.6900","0.7628","6186.7446"
"","3.7900","0.7846","6339.5566"
"","3.8900","0.8051","6480.2407"
"","3.9900","0.8270","6631.3369"
"","4.0900","0.8480","6772.4214"
"","4.1900","0.8689","6912.3657"
"","4.2900","0.8901","7053.4653"
"","4.3900","0.9110","7191.8340"
"","4.4900","0.9332","7339.8257"
"","4.5900","0.9535","7469.6475"
"","4.6900","0.9753","7614.2793"
"","4.7900","0.9957","7741.8960"
"","4.8900","1.0173","7878.3848"
"","4.9900","1.0389","8009.3213"
"","5.0900","1.0592","8132.9448"
"","5.1900","1.0808","8265.6455"
"","5.2900","1.1014","8390.3740"
"","5.3900","1.1233","8525.5771"
"","5.4900","1.1440","8648.3486"
"","5.5900","1.1656","8780.5186"
"","5.6900","1.1864","8903.2217"
"","5.7900","1.2078","9032.3574"
"","5.8900","1.2296","9161.8076"
"","5.9900","1.2499","9279.5479"
"","6.0900","1.2715","9407.7529"
"","6.1900","1.2919","9523.4629"
"","6.2900","1.3141","9653.1855"
"","6.3900","1.3348","9767.1191"
"","6.4900","1.3558","9883.3828"
"","6.5900","1.3767","9994.7705"
"","6.6900","1.3980","10105.1670"
"","6.7900","1.4200","10211.9062"
"","6.8900","1.4402","10287.2725"
"","6.9430","1.4518","10037.0938"
"","7.0430","1.4727","10104.6973"
"","7.1430","1.4939","10134.1475"
"","7.2430","1.5161","10116.5410"
"","7.3430","1.5361","10122.3154"
"","7.4430","1.5579","10122.3340"
"","7.5430","1.5785","10114.5605"
"","7.6430","1.6002","10127.5674"
"","7.7430","1.6212","10107.8652"
"","7.8430","1.6421","10134.5664"
"","7.9430","1.6635","10104.6514"
"","8.0430","1.6842","10132.9814"
"","8.1430","1.7065","10108.3701"
"","8.2430","1.7266","10125.3945"
"","8.3430","1.7485","10113.1475"
"","8.4430","1.7690","10119.4512"
"","8.5430","1.7906","10118.6162"
"","8.6430","1.8121","10107.3057"
"","8.7430","1.8326","10127.4561"
"","8.8430","1.8541","10099.7109"
"","8.9430","1.8748","10123.0684"
"","9.0430","1.8969","10108.3594"
"","9.1430","1.9174","10114.1172"
"","9.2430","1.9389","10127.3398"
"","9.3430","1.9596","10108.3311"
"","9.4430","1.9808","10133.3760"
"","9.5430","2.0027","10109.7646"
"","9.6430","2.0229","10131.9824"
"","9.7430","2.0447","10120.5635"
"","9.8430","2.0652","10126.4316"
"","9.9430","2.0872","10131.8076"
"","10.0430","2.1081","10117.4434"
"","10.1430","2.1292","10144.2363"
"","10.2430","2.1503","10116.7002"
"","10.3430","2.1711","10140.2598"
"","10.4430","2.1933","10120.7451"
"","10.5430","2.2134","10131.8066"
"","10.6430","2.2353","10134.6943"
"","10.7430","2.2556","10126.5449"
"","10.8430","2.2775","10144.7490"
"","10.9430","2.2988","10118.5713"
"","11.0430","2.3195","10150.6455"
"","11.1430","2.3409","10121.9863"
"","11.2430","2.3616","10142.1787"
"","11.3430","2.3839","10131.4121"
"","11.4430","2.4042","10127.4785"
"","11.5430","2.4257","10148.7227"
"","11.6430","2.4463","10118.0312"
"","11.7430","2.4680","10149.3398"
"","11.8430","2.4892","10117.8643"
"","11.9430","2.5099","10147.2500"
"","12.0430","2.5315","10121.5898"
"","12.1430","2.5520","10141.2100"
"","12.2430","2.5742","10131.9004"
"","12.3430","2.5947","10126.4062"
"","12.4430","2.6161","10149.1143"
"","12.5430","2.6369","10116.5146"
