1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","1402.2659"
"","0.1000","0.0042","1492.1860"
"","0.1910","0.0144","1748.1096"
"","0.2220","0.0247","2004.8308"
"","0.2530","0.0351","2258.3467"
"","0.2960","0.0460","2512.5649"
"","0.3470","0.0569","2763.3030"
"","0.3990","0.0682","3016.0391"
"","0.4560","0.0797","3269.8042"
"","0.5140","0.0916","3520.7473"
"","0.5910","0.1085","3772.1709"
"","0.6720","0.1254","4024.6587"
"","0.7430","0.1399","4275.4214"
"","0.8070","0.1543","4525.9336"
"","0.8800","0.1699","4778.4604"
"","0.9620","0.1863","5029.9551"
"","1.0350","0.2022","5282.7622"
"","1.1120","0.2185","5534.5991"
"","1.1920","0.2348","5785.3208"
"","1.2640","0.2509","6037.8667"
"","1.3420","0.2676","6288.4697"
"","1.4270","0.2848","6541.5352"
"","1.5030","0.3014","6792.6870"
"","1.5880","0.3190","7044.1538"
"","1.6710","0.3364","7296.8618"
"","1.7500","0.3540","7549.8970"
"","1.8400","0.3724","7800.0283"
"","1.9250","0.3904","8050.1187"
"","2.0130","0.4092","8301.3506"
"","2.1070","0.4286","8553.8408"
"","2.1930","0.4477","8804.1592"
"","2.2930","0.4683","9050.8525"
"","2.3900","0.4888","9302.2871"
"","2.4900","0.5101","9544.5156"
"","2.5900","0.5309","9776.2715"
"","2.6900","0.5530","10012.7598"
"","2.7900","0.5725","10202.4902"
"","2.8900","0.5949","10427.3379"
"","2.9900","0.6153","10606.5078"
"","3.0900","0.6370","10795.9453"
"","3.1900","0.6584","10964.4238"
"","3.2900","0.6793","11124.3096"
"","3.3900","0.7009","11270.9697"
"","3.4900","0.7214","11404.8037"
"","3.5900","0.7437","11542.0039"
"","3.6900","0.7638","11647.5146"
"","3.7900","0.7854","11765.0967"
"","3.8900","0.8063","11861.5938"
"","3.9900","0.8275","11961.0215"
"","4.0900","0.8493","12043.4492"
"","4.1900","0.8696","12124.6904"
"","4.2900","0.8914","12196.9346"
"","4.3900","0.9118","12261.9512"
"","4.4900","0.9340","12330.9219"
"","4.5900","0.9546","12381.6211"
"","4.6900","0.9761","12443.3613"
"","4.7900","0.9969","12486.6504"
"","4.8900","1.0180","12540.1543"
"","4.9900","1.0400","12578.8887"
"","5.0900","1.0600","12620.0107"
"","5.1900","1.0819","12658.6611"
"","5.2900","1.1023","12691.7969"
"","5.3900","1.1241","12731.2900"
"","5.4900","1.1452","12752.6094"
"","5.5900","1.1661","12793.8984"
"","5.6900","1.1875","12815.6602"
"","5.7900","1.2081","12847.2705"
"","5.8900","1.2305","12872.3291"
"","5.9900","1.2507","12893.1719"
"","6.0900","1.2724","12920.9189"
"","6.1900","1.2929","12937.1602"
"","6.2900","1.3146","12966.5225"
"","6.3900","1.3360","12977.6240"
"","6.4900","1.3564","13006.6289"
"","6.5900","1.3779","13018.2471"
"","6.6900","1.3986","13041.3594"
"","6.7900","1.4209","13059.4922"
"","6.8900","1.4411","13070.2500"
"","6.9900","1.4630","13093.2773"
"","7.0900","1.4836","13104.1084"
"","7.1900","1.5051","13125.5225"
"","7.2900","1.5267","13134.0508"
"","7.3900","1.5471","13154.7539"
"","7.4900","1.5687","13164.2178"
"","7.5900","1.5892","13180.8711"
"","7.6900","1.6114","13196.4326"
"","7.7900","1.6320","13200.2402"
"","7.8900","1.6532","13222.2148"
"","7.9900","1.6741","13228.5264"
"","8.0900","1.6952","13246.9580"
"","8.1900","1.7172","13253.5439"
"","8.2900","1.7372","13267.6338"
"","8.3900","1.7593","13279.1641"
"","8.4900","1.7797","13288.9863"
"","8.5900","1.8016","13304.4375"
"","8.6900","1.8226","13305.1533"
"","8.7900","1.8436","13325.9922"
"","8.8900","1.8649","13327.2607"
"","8.9900","1.8856","13345.8105"
"","9.0900","1.9078","13351.0146"
"","9.1900","1.9280","13359.7656"
"","9.2900","1.9493","13373.8457"
"","9.3900","1.9702","13378.4248"
"","9.4900","1.9918","13393.5752"
"","9.5900","2.0129","13393.7012"
"","9.6900","2.0340","13412.4902"
"","9.7900","2.0555","13411.9824"
"","9.8900","2.0761","13426.9033"
"","9.9900","2.0983","13436.4189"
"","10.0900","2.1187","13439.0146"
"","10.1900","2.1404","13453.2812"
"","10.2900","2.1608","13456.9746"
"","10.3900","2.1821","13470.6484"
"","10.4900","2.2041","13470.7588"
"","10.5900","2.2244","13484.4561"
"","10.6900","2.2459","13489.2959"
"","10.7900","2.2665","13497.2949"
"","10.8900","2.2885","13509.2588"
"","10.9900","2.3093","13508.0098"
"","11.0900","2.3306","13523.9424"
"","11.1900","2.3514","13524.6348"
"","11.2900","2.3726","13539.3994"
"","11.3900","2.3948","13541.1699"
"","11.4900","2.4147","13548.5645"
"","11.5900","2.4366","13556.7178"
"","11.6900","2.4571","13561.3623"
"","11.7900","2.4789","13573.7236"
"","11.8900","2.4999","13570.7812"
"","11.9900","2.5207","13588.4893"
"","12.0900","2.5420","13587.1934"
"","12.1900","2.5629","13598.2617"
"","12.2900","2.5851","13604.7725"
"","12.3900","2.6053","13608.3125"
"","12.4900","2.6270","13615.6650"
"","12.5900","2.6476","13621.5332"
"","12.6900","2.6692","13632.3486"
"","12.7900","2.6908","13629.7773"
"","12.8900","2.7112","13643.7402"
"","12.9900","2.7328","13645.2822"
"","13.0900","2.7533","13654.8457"
"","13.1900","2.7756","13660.8096"
"","13.2900","2.7959","13660.5098"
"","13.3900","2.8175","13675.0771"
"","13.4900","2.8383","13673.5098"
"","13.5900","2.8595","13686.2441"
"","13.6900","2.8813","13685.4414"
"","13.7900","2.9016","13696.7734"
"","13.8900","2.9234","13697.3662"
"","13.9900","2.9438","13705.8350"
"","14.0900","2.9659","13715.5117"
"","14.1900","2.9867","13711.6162"
"","14.2900","3.0080","13726.7305"
"","14.3900","3.0288","13723.9512"
"","14.4900","3.0500","13737.2080"
"","14.5900","3.0719","13735.3438"
"","14.6900","3.0921","13742.6582"
"","14.7900","3.1139","13749.2490"
"","14.8900","3.1343","13754.6240"
"","14.9900","3.1561","13763.5859"
"","15.0900","3.1774","13760.7607"
"","15.1900","3.1984","13774.6318"
"","15.2900","3.2193","13771.9775"
"","15.3900","3.2404","13783.2314"
"","15.4900","3.2625","13786.4023"
"","15.5900","3.2827","13788.0547"
"","15.6900","3.3042","13793.4062"
"","15.7900","3.3250","13802.6309"
"","15.8900","3.3466","13809.1650"
"","15.9900","3.3679","13805.4473"
"","16.0900","3.3884","13820.7842"
"","16.1900","3.4102","13819.8164"
"","16.2900","3.4307","13825.1367"
"","16.3900","3.4529","13833.1016"
"","16.4900","3.4732","13829.9854"
"","16.5900","3.4948","13843.2383"
"","16.6900","3.5155","13841.8838"
"","16.7900","3.5369","13855.3662"
"","16.8900","3.5588","13852.5918"
"","16.9900","3.5789","13860.9766"
"","17.0900","3.6007","13862.7764"
"","17.1900","3.6211","13868.9727"
"","17.2900","3.6433","13876.6260"
"","17.3900","3.6640","13872.0264"
"","17.4900","3.6851","13887.0107"
"","17.5900","3.7061","13884.8975"
"","17.6900","3.7271","13894.7666"
"","17.7900","3.7493","13896.6680"
"","17.8900","3.7696","13900.3975"
"","17.9900","3.7913","13906.0078"
"","18.0900","3.8118","13909.3740"
"","18.1900","3.8335","13918.6855"
"","18.2900","3.8548","13912.7793"
"","18.3900","3.8756","13926.0439"
"","18.4900","3.8967","13925.2559"
"","18.5900","3.9177","13935.2188"
"","18.6900","3.9398","13937.7490"
"","18.7900","3.9600","13936.5850"
"","18.8900","3.9818","13948.8857"
"","18.9900","4.0023","13948.6699"
"","19.0900","4.0238","13958.0723"
"","19.1900","4.0453","13954.0459"
"","19.2900","4.0658","13966.4609"
"","19.3900","4.0873","13963.9990"
"","19.4900","4.1080","13970.5713"
"","19.5900","4.1302","13979.2334"
"","19.6900","4.1505","13974.4629"
"","19.7900","4.1721","13988.8184"
"","19.8900","4.1930","13985.4629"
"","19.9900","4.2142","13997.7363"
"","20.0900","4.2361","13992.1250"
"","20.1900","4.2563","14002.1367"
"","20.2900","4.2780","14004.1914"
"","20.3900","4.2984","14008.9512"
"","20.4900","4.3204","14017.8369"
"","20.5900","4.3414","14011.3877"
"","20.6900","4.3627","14026.3184"
"","20.7900","4.3835","14021.5693"
"","20.8900","4.4045","14033.1670"
"","20.9900","4.4267","14033.1836"
"","21.0900","4.4469","14035.6777"
"","21.1900","4.4686","14042.0137"
"","21.2900","4.4891","14044.2314"
"","21.3900","4.5109","14054.9854"
"","21.4900","4.5321","14049.1768"
"","21.5900","4.5529","14062.3779"
"","21.6900","4.5741","14058.6914"
"","21.7900","4.5949","14067.2607"
"","21.8900","4.6171","14071.0293"
"","21.9900","4.6371","14068.3574"
"","22.0900","4.6591","14080.5127"
"","22.1900","4.6791","14078.3652"
"","22.2900","4.7013","14089.9062"
"","22.3900","4.7228","14084.6270"
"","22.4900","4.7430","14096.6309"
"","22.5900","4.7647","14095.1943"
"","22.6900","4.7854","14100.8242"
"","22.7900","4.8077","14108.1406"
"","22.8900","4.8280","14102.0967"
"","22.9900","4.8495","14116.6104"
"","23.0900","4.8702","14112.3340"
"","23.1900","4.8913","14124.6943"
"","23.2900","4.9133","14119.9062"
"","23.3900","4.9336","14128.8281"
"","23.4900","4.9555","14130.1631"
"","23.5900","4.9759","14134.6230"
"","23.6900","4.9979","14142.4512"
"","23.7900","5.0187","14135.9697"
"","23.8900","5.0400","14152.4941"
"","23.9900","5.0610","14146.1045"
"","24.0900","5.0819","14157.7793"
"","24.1900","5.1039","14156.9834"
"","24.2900","5.1242","14161.0791"
"","24.3900","5.1459","14163.4736"
"","24.4900","5.1664","14167.7422"
"","24.5900","5.1882","14177.4746"
"","24.6900","5.2093","14170.7852"
"","24.7900","5.2302","14185.0098"
"","24.8900","5.2513","14178.7295"
"","24.9900","5.2721","14191.0459"
"","25.0900","5.2944","14190.3164"
"","25.1900","5.3147","14191.4785"
"","25.2900","5.3366","14201.1377"
"","25.3900","5.3569","14198.5059"
"","25.4900","5.3785","14212.2432"
"","25.5900","5.4000","14203.8271"
"","25.6900","5.4205","14216.2178"
"","25.7900","5.4420","14210.6309"
"","25.8900","5.4625","14219.7266"
"","25.9900","5.4846","14226.7705"
"","26.0900","5.5054","14220.7637"
"","26.1900","5.5269","14235.3418"
"","26.2900","5.5475","14231.7383"
"","26.3900","5.5688","14243.2998"
"","26.4900","5.5909","14236.9434"
"","26.5900","5.6110","14244.2432"
"","26.6900","5.6327","14246.3057"
"","26.7900","5.6531","14249.0850"
"","26.8900","5.6752","14258.5713"
"","26.9900","5.6962","14253.5625"
"","27.0900","5.7173","14268.5684"
"","27.1900","5.7382","14261.6641"
"","27.2900","5.7590","14271.5771"
"","27.3900","5.7813","14273.0576"
"","27.4900","5.8014","14273.8701"
"","27.5900","5.8232","14276.9639"
"","27.6900","5.8436","14281.1523"
"","27.7900","5.8655","14290.0391"
"","27.8900","5.8868","14283.2471"
"","27.9900","5.9077","14298.5312"
"","28.0900","5.9289","14292.0908"
