4,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","250.3135"
"","0.1000","0.0055","344.7062"
"","0.1940","0.0201","600.1404"
"","0.2360","0.0339","850.8813"
"","0.2900","0.0476","1102.6692"
"","0.3580","0.0617","1355.4329"
"","0.4310","0.0762","1605.9988"
"","0.5030","0.0921","1857.2125"
"","0.5950","0.1113","2109.3765"
"","0.6880","0.1307","2360.8774"
"","0.7720","0.1495","2611.3860"
"","0.8680","0.1690","2862.4216"
"","0.9580","0.1882","3113.2937"
"","1.0530","0.2081","3365.2751"
"","1.1500","0.2283","3616.4116"
"","1.2410","0.2486","3866.7620"
"","1.3410","0.2687","4102.9292"
"","1.4360","0.2896","4355.4565"
"","1.5360","0.3102","4590.5820"
"","1.6360","0.3318","4841.3408"
"","1.7360","0.3535","5082.6943"
"","1.8360","0.3739","5306.8789"
"","1.9360","0.3954","5542.4033"
"","2.0360","0.4159","5760.2886"
"","2.1360","0.4382","6000.2979"
"","2.2360","0.4587","6205.8105"
"","2.3360","0.4800","6427.2197"
"","2.4360","0.5007","6627.5322"
"","2.5360","0.5220","6834.3154"
"","2.6360","0.5440","7040.9463"
"","2.7360","0.5641","7218.5703"
"","2.8360","0.5859","7421.0166"
"","2.9360","0.6062","7599.1011"
"","3.0360","0.6284","7802.8247"
"","3.1360","0.6494","7970.9009"
"","3.2360","0.6704","8149.6812"
"","3.3360","0.6914","8322.1016"
"","3.4360","0.7123","8498.0879"
"","3.5360","0.7345","8687.4619"
"","3.6360","0.7545","8845.1719"
"","3.7360","0.7763","9035.9893"
"","3.8360","0.7969","9203.6729"
"","3.9360","0.8186","9393.6094"
"","4.0360","0.8400","9569.8008"
"","4.1360","0.8607","9745.4570"
"","4.2360","0.8820","9923.8867"
"","4.3360","0.9028","10098.2754"
"","4.4360","0.9250","10292.8174"
"","4.5360","0.9452","10452.2656"
"","4.6360","0.9669","10642.0498"
"","4.7360","0.9876","10811.0029"
"","4.8360","1.0091","10999.8330"
"","4.9360","1.0307","11179.4639"
"","5.0360","1.0511","11347.2246"
